,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
0,72946163,9959827,74107562,74107562,50989110,12806400,13014,2229,15307,1951,3293,3331,68707,68707,145,266,400721,297116,400721,5.72,5.72,2376065,2292124,1699503,24,8760,39420000,303996,53022241,36180147,1147753298,84052309,62555146,284580188,284580188,193331126,242241447,114585544,179248392,348,622,69332,70802,225,255,10087,4216,3444.34,13144,5431,2196.63
1,NC,75323702,74444931,NC,62099378,51850440,9784,18300,NC,6803,3208,2538,28509,29091,1536,1672,233408,147457,232797,5.42,5.42,1298437,1265071,799217,24,8760,0,55422502.68,185094327,45022115.41,2322413333,68081766,321026655,356482524.2,352093256,249034418,338658235,141862138,198235787.2,175,550,42506,42506,31,32,783,15398,3970,2158,5098,1984
2,NC,7088707,7088707,NC,5196232,4131476.28,1278,1395,NC,500,492,506,2588,2628,NR,NR,25967,9930,25967,5.5,5.5,144067,142819,54720,24,8760,0,510,92291,3987883.03,146080777,16488753,60924847,19323935.64,17804416.53,19237796.25,24600671.25,658225.17,10059222.07,18,129,2103,2659,80,109,65,806,504.18,62,170,209.38
3,11435946.39,NC,10852426.39,10649119.39,8988303,4376380.72,1695.6,NC,1350,1458,534,854,7391,7539,278,312,53779,53153,53708,5.3,5.3,288122,285029,281711,24,8760,7612800,683893,2046061.83,9759276.6,369947777.8,7611031.46,319798299.2,57085232.75,53175727.59,40487945.19,62037349.8,23075063,29789266,47,209,2404,2510,58,68,2390,930,778.15,167,31,437.75
4,14018295.52,13104567.78,20937334.63,11628869.76,13584591,9943778.05,3964.93,2422.8,2304,1440,2264,986,17976,18545,903,1609,74469,95198,63954,5.25,5.25,593599,390962,499789,24,8760,293828472.8,164500,12102031.04,20404402.39,1324282421,14905121.58,138739300.9,148539310.3,140748221.3,109510239,204194985.2,79794952.08,111734412.8,50,367,7878,8274,24,497,274,856,1410.73,7967,1306,922.05
5,472628,11341903.32,11716724,NC,7679524,NC,2023.92,1646.58,NC,NC,651,685,4557,4592,NC,NC,73710,NC,69140,4,NC,305554,294840,NC,24,8760,402459453.1,306460.5,20018392.66,4372450.58,184415891.9,2192022.48,26740612.96,41046239.48,36626602.81,30602684.62,40666133.74,3056680.74,7378353,49,219,983,1001,2449,2808,1368,13643,937.23,NC,NC,NC
6,NC,2940448,2466628,1982032,1573583,2650636.8,424.8,1114.02,597.6,400,243,361,1163,1251,8,24,9596,4581,6203,6.5,6.5,77139,62374,29777,24,8760,58996410,2665305,113924.46,3832749,175064300.9,9479037.5,19389097.03,9234979.25,9051201.2,11534060.74,15332571.44,55427.25,3287774.61,19,80,746,746,NR,25,22,49,155.66,86,85,62.78
7,2207520,NC,2048810,2048810,1758478,NC,720,NC,320,NC,314,314,1329,1674,NC,NC,9176,1928,9176,5,5,55707,45880,9640,24,8760,0,NR,108338,895708.66,27946100,516562,625041,4968857,4281905,5180478.89,5878230.13,100850,240522,22,40,2691,2691,16,16,8,NR,132.6,NR,NR,43.81
8,7215070,NC,6054358,6054358,5873400,NC,1400,NC,1224,NC,800,758,4988,4988,NC,NC,37958,34844,34358,5.5,5.5,210395,208769,191642,24,8760,NR,22490,1749188.41,2379792.2,331328822.7,4643348.79,106145609.9,23663270.94,21020362.62,23237908.71,27259891.52,1024352.98,4022796,50,153,3299,4148,NR,NR,212,423,272.78,NR,NR,276.67
9,9711232.67,6435782,15137888.91,8702106.91,9548672.39,9523872,3504.67,892.56,1152,756,579,794,2542,2634,66,96,38487,33995,30670,6.41,6.41,248425,246702,217908,24,8760,59112271,14506.4,29552983.88,6510779.6,98057933,3185712,11620767,39969426.22,34806569.95,33311284.61,38736399.55,8067377,15594865,32,204,9396,9429,154,172,277,384,489.28,56,26,424.51
10,707401.08,2346234.78,3014919.2,668563.2,2253266.18,2113858.08,715.32,619.81,180,360,686,542,4230,4292,1136,1156,12261,10855,12247,5.36,5.36,69896,65719,58183,24,8760,281498,6062.5,783190.47,3231143.52,44252256.79,109084.48,7991556.43,13406632.27,13403800.32,13658791.51,18500567.65,481556.84,1614500,29,73,1407,1481,26,42,38,168,179.54,98,NR,79.95
11,NC,1151278.13,1151278.13,NC,960074,NC,253.58,499,NC,NC,60,52,783,783,NC,NC,3778,NC,3764,5.8,NC,22059,21912,17736,24,8760,0,0,411340.3,815170,6745830.24,1015910.72,224962.53,6009039.71,5020740.92,5434006.73,5826784.36,172172.72,958893,5,15,337,337,26,26,10,56,59.73,NC,NC,NC
12,NC,1056428.2,1056428.2,NC,926741,371750,127.01,200.68,NC,NC,80,77,470,472,NC,NC,3542,3328,3530,7,7,26950,24794,23296,24,8760,0,0,238125.63,621676.96,8334127.18,1515403.47,796456.44,3903349.29,3487623.74,3591399.75,4029845.24,42000,42000,9,27,1897,1897,12,12,19,456,43.7,0,NR,53.3
